0:8:b9:18:54:e3,1,0,0,0,0,0,0,0,0,0
fc:52:8d:5e:8c:c1,8,145759,145545,214,29798,29779,19,32347,32342,5
e0:ca:94:85:82:79,8,136063,135837,226,33706,33683,23,27179,27158,21
e0:ca:94:85:82:70,8,2076633,1510726,565907,241129,215304,25825,210109,195058,15051
8:eb:74:bc:b:c0,8,122125,121910,215,35327,35299,28,28716,28702,14
8:eb:74:bc:c:a4,8,128652,128424,228,33677,33648,29,27889,27866,23
fc:52:8d:5e:95:4c,8,1919108,1395652,523456,233450,208233,25217,209039,194012,15027
fc:52:8d:5e:88:65,8,138453,138253,200,29536,29503,33,32931,32917,14
fc:52:8d:5e:8f:fd,8,1892684,1386459,506225,231655,207158,24497,212639,197201,15438
fc:52:8d:5e:90:2a,8,1870719,1363129,507590,224790,200295,24495,216379,200528,15851
fc:52:8d:5e:8c:94,8,148729,148528,201,29274,29254,20,31686,31685,1
fc:52:8d:5e:8c:79,8,2052809,1490619,562190,240650,214527,26123,219768,203753,16015
fc:52:8d:5e:8c:af,8,1906953,1376351,530602,227183,201831,25352,213828,198267,15561
fc:52:8d:5e:8c:28,8,1897001,1382710,514291,225555,201088,24467,205936,190474,15462
fc:52:8d:5e:88:2,8,1909502,1389395,520107,229851,204707,25144,210531,195365,15166
8:eb:74:bc:c:8c,8,121609,121375,234,35890,35859,31,28959,28933,26
8:eb:74:bc:b:d8,8,121242,121035,207,33223,33193,30,29288,29269,19
8:eb:74:bc:b:b4,8,124697,124467,230,34923,34883,40,28751,28721,30
e0:ca:94:85:82:82,8,122712,122503,209,34495,34463,32,28640,28617,23
8:eb:74:bc:c:8,8,130405,130184,221,29518,29486,32,28878,28862,16
fc:4a:e9:9:ee:e3,8,1516287,1516075,212,219079,219061,18,193368,193356,12
fc:4a:e9:9:ee:b6,8,462592,462408,184,116712,116674,38,122700,122693,7
fc:4a:e9:9:ee:b3,8,466574,466361,213,120708,120689,19,121479,121466,13
fc:4a:e9:9:ee:bf,8,470879,470683,196,115896,115863,33,120957,120945,12
fc:4a:e9:9:ee:ad,8,469909,469713,196,111974,111932,42,122056,122026,30
8:eb:74:bc:c:b0,8,129051,128852,199,31027,30995,32,28389,28382,7
dc:ef:9:ff:5d:b0,8,880749,880516,233,174112,174086,26,172566,172543,23
dc:ef:9:ff:5e:20,8,1387954,1387757,197,202572,202543,29,189806,189794,12
dc:ef:9:ff:5d:90,8,156431,156211,220,34470,34451,19,30054,30048,6
dc:ef:9:ff:5d:70,8,143092,142885,207,35595,35568,27,32220,32203,17
fc:4a:e9:9:ee:fb,8,944680,944475,205,178011,177989,22,176026,176016,10
8:eb:74:bc:c:98,8,123478,123262,216,33395,33351,44,28552,28518,34
8:eb:74:bc:c:14,8,124373,124175,198,34226,34183,43,28965,28950,15
e0:ca:94:85:79:67,1,0,0,0,0,0,0,0,0,0
